shipment_id,customer_id,customer_name,industry,origin_city,origin_region,destination_city,destination_region,transport_mode,carrier,commodity_type,weight_lbs,num_pallets,ship_date,delivery_date,transit_days,status,on_time_delivery,base_freight_cost,fuel_surcharge,accessorial_charges,total_freight_cost,cost_per_lb,damage_claim,damage_amount
SHP-000056,C015,ColdChain Express,Food & Beverage,"Dallas, TX",US-South,"Vancouver, BC",Canada,Rail,Apex Freight Solutions,Fragile Items,36438.8,24,2025-11-19,2025-11-28,9,Delivered,True,2131.67,348.73,475.39,2955.79,0.0811,False,0
SHP-000057,C003,FreshHarvest Foods,Food & Beverage,"Memphis, TN",US-South,"Portland, OR",US-West,Ocean,Pacific Route Lines,Fragile Items,498503.3,420,2025-02-22,2025-03-29,35,Delivered,True,11515.43,1858.87,235.01,13609.31,0.0273,False,0
SHP-000058,C003,FreshHarvest Foods,Food & Beverage,"Seattle, WA",US-West,"Detroit, MI",US-Midwest,Ocean,Pacific Route Lines,Fragile Items,473144.8,257,2024-11-27,2024-12-22,25,Delayed,,16276.18,2197.44,157.26,18630.88,0.0394,False,0
SHP-000059,C001,Acme Manufacturing,Automotive,"Louisville, KY",US-East,"Minneapolis, MN",US-Midwest,Intermodal,SwiftHaul Logistics,Oversized Load,35324.6,18,2025-07-16,2025-07-22,6,In Transit,,2395.01,341.39,101.78,2838.18,0.0803,False,0
SHP-000060,C012,EnergyFlow Corp,Energy,"Memphis, TN",US-South,"Miami, FL",US-South,Truck (FTL),Apex Freight Solutions,Oversized Load,11335.1,7,2024-04-26,2024-05-01,5,Delayed,,953.28,128.91,0,1082.19,0.0955,False,0
SHP-000061,C015,ColdChain Express,Food & Beverage,"Atlanta, GA",US-South,"Portland, OR",US-West,Ocean,SkyBridge Air Cargo,High-Value Goods,246424.8,134,2024-07-14,,,Cancelled,,5963.48,749.48,0,6712.96,0.0272,False,0
SHP-000062,C013,PharmaDist Inc,Pharmaceuticals,"Dallas, TX",US-South,"Phoenix, AZ",US-West,Air Freight,SkyBridge Air Cargo,General Merchandise,3644.0,2,2025-04-02,2025-04-05,3,Delivered,True,7925.7,1093.69,432.63,9452.02,2.5939,False,0
SHP-000063,C013,PharmaDist Inc,Pharmaceuticals,"Louisville, KY",US-East,"Detroit, MI",US-Midwest,Intermodal,PrimeMove Carriers,Oversized Load,26716.4,13,2025-04-29,2025-05-13,14,Delayed,,1311.78,217.23,159.09,1688.1,0.0632,False,0
SHP-000064,C011,PackLogic Systems,Packaging,"Houston, TX",US-South,"Minneapolis, MN",US-Midwest,Truck (FTL),BlueWave Shipping,Finished Products,18279.8,10,2025-04-12,2025-04-13,1,In Transit,,877.43,144.34,0,1021.77,0.0559,False,0
SHP-000065,C011,PackLogic Systems,Packaging,"Houston, TX",US-South,"Miami, FL",US-South,Intermodal,SkyBridge Air Cargo,Bulk Commodities,58489.3,37,2025-01-24,2025-02-02,9,In Transit,,3655.58,603.82,429.67,4689.07,0.0802,False,0
SHP-000066,C008,SteelForge Ltd,Metals,"Louisville, KY",US-East,"New York, NY",US-East,Air Freight,TransNational Freight,Oversized Load,3437.8,2,2024-04-10,2024-04-14,4,Delayed,,3694.95,379.65,0,4074.6,1.1852,False,0
SHP-000067,C015,ColdChain Express,Food & Beverage,"Los Angeles, CA",US-West,"New York, NY",US-East,Rail,SwiftHaul Logistics,Fragile Items,87471.4,97,2024-06-23,2024-06-30,7,Delivered,True,2256.76,300.41,396.26,2953.43,0.0338,False,0
SHP-000068,C010,QuickRetail Group,Retail,"Newark, NJ",US-East,"Minneapolis, MN",US-Midwest,Air Freight,BlueWave Shipping,Oversized Load,3207.6,2,2024-10-21,2024-10-24,3,Delivered,True,4551.91,667.69,232.63,5452.23,1.6998,False,0
SHP-000069,C006,PetroChem Industries,Chemicals,"Columbus, OH",US-Midwest,"Boston, MA",US-East,Ocean,Continental Express,Fragile Items,424198.9,284,2025-08-08,2025-09-13,36,Delivered,True,6787.18,804.07,118.6,7709.85,0.0182,False,0
SHP-000070,C005,BuildRight Materials,Construction,"Los Angeles, CA",US-West,"Toronto, ON",Canada,Intermodal,SkyBridge Air Cargo,General Merchandise,70554.7,46,2024-10-20,2024-10-27,7,In Transit,,4861.22,862.19,372.59,6096.0,0.0864,False,0
SHP-000071,C011,PackLogic Systems,Packaging,"Newark, NJ",US-East,"Nashville, TN",US-South,Rail,BlueWave Shipping,Refrigerated Goods,136341.3,80,2024-04-02,2024-04-14,12,Delayed,,4417.46,548.13,366.18,5331.77,0.0391,False,0
SHP-000072,C003,FreshHarvest Foods,Food & Beverage,"Louisville, KY",US-East,"Phoenix, AZ",US-West,Air Freight,Heartland Trucking,Fragile Items,864.5,1,2024-12-12,,,Cancelled,,2012.64,351.04,147.57,2511.25,2.9049,False,0
SHP-000073,C013,PharmaDist Inc,Pharmaceuticals,"Newark, NJ",US-East,"Toronto, ON",Canada,Ocean,Continental Express,Finished Products,54248.4,36,2025-01-12,2025-02-11,30,Delivered,True,1182.62,125.88,0,1308.5,0.0241,False,0
SHP-000074,C006,PetroChem Industries,Chemicals,"Chicago, IL",US-Midwest,"Toronto, ON",Canada,Truck (LTL),Pacific Route Lines,General Merchandise,8853.9,4,2024-03-05,2024-03-14,9,In Transit,,1552.97,266.37,0,1819.34,0.2055,False,0
SHP-000075,C007,TextileWorld Inc,Textiles,"Chicago, IL",US-Midwest,"San Francisco, CA",US-West,Truck (FTL),SwiftHaul Logistics,Fragile Items,9644.8,4,2025-01-14,2025-01-20,6,Delivered,True,567.11,75.85,0,642.96,0.0667,False,0
SHP-000076,C009,AgroFarm Supplies,Agriculture,"Dallas, TX",US-South,"Nashville, TN",US-South,Ocean,BlueWave Shipping,High-Value Goods,58520.6,43,2025-01-14,2025-02-14,31,Delayed,,1445.46,174.63,16.36,1636.45,0.028,False,0
SHP-000077,C006,PetroChem Industries,Chemicals,"Chicago, IL",US-Midwest,"Toronto, ON",Canada,Rail,Heartland Trucking,Bulk Commodities,91665.1,58,2025-11-09,2025-11-17,8,Delivered,True,2529.96,233.3,227.36,2990.62,0.0326,False,0
SHP-000078,C001,Acme Manufacturing,Automotive,"Los Angeles, CA",US-West,"Monterrey, MX",Mexico,Rail,IronRail Transport,Hazardous Materials,121624.0,101,2024-08-09,,,Cancelled,,2760.86,432.12,0,3192.98,0.0263,False,0
SHP-000079,C015,ColdChain Express,Food & Beverage,"Columbus, OH",US-Midwest,"New York, NY",US-East,Rail,BlueWave Shipping,Hazardous Materials,65117.8,37,2024-01-16,2024-01-26,10,In Transit,,1758.18,256.88,0,2015.06,0.0309,False,0
SHP-000080,C006,PetroChem Industries,Chemicals,"Los Angeles, CA",US-West,"San Francisco, CA",US-West,Rail,SwiftHaul Logistics,Hazardous Materials,95772.9,68,2025-08-30,2025-09-09,10,Delayed,,2346.44,202.63,181.02,2730.09,0.0285,False,0
SHP-000081,C001,Acme Manufacturing,Automotive,"Louisville, KY",US-East,"Boston, MA",US-East,Intermodal,SwiftHaul Logistics,General Merchandise,69310.9,45,2024-03-23,2024-04-01,9,Delivered,True,3555.65,322.84,221.78,4100.27,0.0592,False,0
SHP-000082,C005,BuildRight Materials,Construction,"Columbus, OH",US-Midwest,"Toronto, ON",Canada,Air Freight,Heartland Trucking,Bulk Commodities,4973.4,2,2025-12-19,2025-12-20,1,Delivered,True,7763.97,973.38,49.59,8786.94,1.7668,False,0
SHP-000083,C013,PharmaDist Inc,Pharmaceuticals,"Louisville, KY",US-East,"Vancouver, BC",Canada,Truck (LTL),Continental Express,Raw Materials,4196.8,3,2024-11-16,2024-11-22,6,Delivered,True,926.23,111.03,156.27,1193.53,0.2844,False,0
SHP-000084,C015,ColdChain Express,Food & Beverage,"Memphis, TN",US-South,"Miami, FL",US-South,Truck (FTL),TransNational Freight,Refrigerated Goods,8862.6,7,2025-07-29,2025-08-03,5,Delivered,True,878.28,141.56,293.23,1313.07,0.1482,False,0
SHP-000085,C006,PetroChem Industries,Chemicals,"Dallas, TX",US-South,"Vancouver, BC",Canada,Truck (FTL),SkyBridge Air Cargo,Machinery & Equipment,19065.8,10,2024-04-20,2024-04-23,3,Delivered,True,1643.47,166.44,112.12,1922.03,0.1008,False,0
SHP-000086,C013,PharmaDist Inc,Pharmaceuticals,"Atlanta, GA",US-South,"Nashville, TN",US-South,Truck (LTL),Continental Express,Finished Products,8202.4,9,2025-11-04,,,Cancelled,,1511.7,218.09,0,1729.79,0.2109,False,0
SHP-000087,C013,PharmaDist Inc,Pharmaceuticals,"Atlanta, GA",US-South,"Phoenix, AZ",US-West,Rail,SwiftHaul Logistics,Hazardous Materials,45785.3,43,2024-04-03,,,Cancelled,,2119.86,184.34,485.91,2790.11,0.0609,False,0
SHP-000088,C006,PetroChem Industries,Chemicals,"Houston, TX",US-South,"Phoenix, AZ",US-West,Rail,PrimeMove Carriers,Machinery & Equipment,35292.3,22,2024-10-05,2024-10-17,12,In Transit,,779.96,74.67,336.98,1191.61,0.0338,False,0
SHP-000089,C008,SteelForge Ltd,Metals,"Dallas, TX",US-South,"Boston, MA",US-East,Truck (LTL),Heartland Trucking,Refrigerated Goods,4356.1,3,2024-02-16,2024-02-21,5,Delivered,True,558.45,82.57,333.57,974.59,0.2237,False,0
SHP-000090,C001,Acme Manufacturing,Automotive,"Newark, NJ",US-East,"Boston, MA",US-East,Truck (LTL),BlueWave Shipping,Fragile Items,3348.4,2,2025-01-24,2025-02-03,10,Delivered,True,272.22,42.11,0,314.33,0.0939,False,0
SHP-000091,C014,AutoParts Direct,Automotive,"Seattle, WA",US-West,"Miami, FL",US-South,Intermodal,SwiftHaul Logistics,High-Value Goods,42182.8,36,2025-10-17,2025-10-27,10,Delivered,True,1430.0,159.17,202.21,1791.38,0.0425,False,0
SHP-000092,C006,PetroChem Industries,Chemicals,"Houston, TX",US-South,"Monterrey, MX",Mexico,Air Freight,Pacific Route Lines,Bulk Commodities,2211.7,1,2024-11-13,2024-11-16,3,Delivered,True,1574.07,194.5,39.32,1807.89,0.8174,False,0
SHP-000093,C003,FreshHarvest Foods,Food & Beverage,"Chicago, IL",US-Midwest,"Portland, OR",US-West,Ocean,TransNational Freight,Finished Products,105012.8,113,2024-05-31,2024-06-29,29,In Transit,,3496.93,402.53,322.72,4222.18,0.0402,False,0
SHP-000094,C003,FreshHarvest Foods,Food & Beverage,"Columbus, OH",US-Midwest,"San Francisco, CA",US-West,Ocean,TransNational Freight,Hazardous Materials,317694.9,172,2025-08-01,,,Cancelled,,7592.91,1035.47,340.57,8968.95,0.0282,False,0
SHP-000095,C003,FreshHarvest Foods,Food & Beverage,"Memphis, TN",US-South,"Miami, FL",US-South,Intermodal,Pacific Route Lines,Fragile Items,29227.2,33,2025-04-07,,,Cancelled,,958.65,125.33,0,1083.98,0.0371,False,0
SHP-000096,C002,GlobalTech Solutions,Electronics,"Chicago, IL",US-Midwest,"Nashville, TN",US-South,Air Freight,Heartland Trucking,High-Value Goods,2922.6,2,2025-08-08,2025-08-11,3,Delivered,True,7039.08,1083.26,0,8122.34,2.7791,False,0
SHP-000097,C009,AgroFarm Supplies,Agriculture,"Houston, TX",US-South,"New York, NY",US-East,Intermodal,TransNational Freight,Bulk Commodities,15903.0,16,2025-06-20,2025-07-07,17,Delayed,,990.76,83.14,495.49,1569.39,0.0987,False,0
SHP-000098,C005,BuildRight Materials,Construction,"Dallas, TX",US-South,"Detroit, MI",US-Midwest,Rail,Apex Freight Solutions,General Merchandise,133559.6,72,2024-09-15,,,Cancelled,,4460.89,503.94,193.28,5158.11,0.0386,False,0
SHP-000099,C010,QuickRetail Group,Retail,"Houston, TX",US-South,"Phoenix, AZ",US-West,Rail,Continental Express,Hazardous Materials,147590.1,161,2024-05-10,2024-05-23,13,In Transit,,3453.61,469.32,164.24,4087.17,0.0277,False,0
SHP-000100,C009,AgroFarm Supplies,Agriculture,"Seattle, WA",US-West,"New York, NY",US-East,Rail,SkyBridge Air Cargo,Hazardous Materials,81511.8,57,2024-10-29,2024-11-04,6,Delivered,True,4124.5,409.15,77.47,4611.12,0.0566,False,0
SHP-000101,C012,EnergyFlow Corp,Energy,"Louisville, KY",US-East,"New York, NY",US-East,Ocean,PrimeMove Carriers,Machinery & Equipment,302650.8,355,2024-06-18,2024-07-30,42,Delivered,True,4418.7,433.41,312.37,5164.48,0.0171,False,0
SHP-000102,C012,EnergyFlow Corp,Energy,"Newark, NJ",US-East,"Minneapolis, MN",US-Midwest,Air Freight,SkyBridge Air Cargo,Raw Materials,2693.4,1,2025-01-11,2025-01-14,3,Delivered,True,3013.65,484.78,417.56,3915.99,1.4539,False,0
SHP-000103,C008,SteelForge Ltd,Metals,"Atlanta, GA",US-South,"Monterrey, MX",Mexico,Intermodal,Heartland Trucking,Finished Products,77638.8,49,2024-09-13,2024-09-17,4,Delivered,True,5496.83,880.18,0,6377.01,0.0821,False,0
SHP-000104,C009,AgroFarm Supplies,Agriculture,"Chicago, IL",US-Midwest,"Vancouver, BC",Canada,Air Freight,TransNational Freight,Fragile Items,3827.4,1,2025-03-23,2025-03-24,1,Delivered,True,4001.93,682.45,0,4684.38,1.2239,False,0
